year,person,cumrank,player,school,seed,seasonppg,round1,round2,round3,round4,round5,round6,totalpoints,gamesplayed,tourneyppg,draftround,overallpick,draftposition,region,conference,initial,spacer,longitude,latitude
2023,James,,Jack Nunge,Xavier,3,14.1,10,18,15,,,,43,3,14.3,6,42,7,,,886,Xavier,-84.470001,39.150002
2023,James,,Kris Murray,Iowa,8,20.4,15,,,,,,15,1,15,7,55,7,,,887,Iowa,-91.554955,41.663471
2023,James,,Tucker DeVries,Drake,12,19,3,,,,,,3,1,3,8,58,7,,,888,Drake,-93.650002,41.599998
2023,Andrew L,,Gradey Dick,Kansas,1,14.1,19,7,,,,,26,2,13,1,8,8,,,889,Kansas,-95.25,38.950001
2023,Andrew L,,Kyle Filipowski,Duke,5,15.4,6,13,,,,,19,2,9.5,2,9,8,,,890,Duke,-78.940002,36
2023,Andrew L,,Jarace Walker,Houston,1,11,16,7,16,,,,39,3,13,3,24,8,,,891,Houston,-95.346931,29.724676
2023,Andrew L,,Adama Sanogo,Connecticut,4,16.799999,28,24,18,10,21,17,118,6,19.700001,4,25,8,,,892,Connecticut,-72.676193,41.768265
2023,Andrew L,,Amari Bailey,UCLA,2,10.6,17,14,19,,,,50,3,16.700001,5,40,8,,,893,UCLA,-118.45,34.07
2023,Andrew L,,Rasir Bolton,Gonzaga,3,10.4,6,17,0,6,,,29,4,7.3000002,6,41,8,,,894,Gonzaga,-117.4,47.669998
2023,Andrew L,,Matt Bradley,San Diego St.,5,12.9,17,10,6,2,21,8,64,6,10.7,7,56,8,,,895,San Diego St.,-117.07,32.77
2023,Andrew L,,Tyrese Proctor,Duke,5,9.3000002,7,16,,,,,23,2,11.5,8,57,8,,,896,Duke,-78.940002,36
2024,Alex,,Zach Edey,Purdue,1,24.4,30,23,27,40,20,37,177,6,29.5,1,1,1,,,897,Purdue,-86.919998,40.43
2024,Alex,,Johni Broome,Auburn,4,16.200001,24,,,,,,24,1,24,2,16,1,,,898,Auburn,-85.492508,32.602722
2024,Alex,,Kyle Filipowski,Duke,4,17.1,3,14,16,11,,,44,4,11,3,17,1,,,899,Duke,-78.940002,36
2024,Alex,,Pelle Larsson,Arizona,2,12.8,15,13,8,,,,36,3,12,4,32,1,,,900,Arizona,-110.95,32.23
2024,Alex,,Keshad Johnson,Arizona,2,11.6,13,13,6,,,,32,3,10.7,5,33,1,,,901,Arizona,-110.95,32.23
2024,Alex,,Hunter Dickinson,Kansas,4,18,19,15,,,,,34,2,17,6,48,1,,,902,Kansas,-95.25,38.950001
2024,Alex,,Milan Momcilovic,Iowa St.,2,11,19,10,1,,,,30,3,10,7,49,1,,,903,Iowa St.,-93.639999,42.02
2024,Alex,,Augustas Marciulionis,Saint Mary's,5,12.4,10,,,,,,10,1,10,8,64,1,,,904,Saint Mary's,-122.11,37.84
2024,Josh,,RJ Davis,North Carolina,1,21.4,22,20,16,,,,58,3,19.299999,1,2,2,,,905,North Carolina,-79.040001,35.900002
2024,Josh,,Kam Jones,Marquette,2,16.799999,28,18,20,,,,66,3,22,2,15,2,,,906,Marquette,-87.919998,43.040001
2024,Josh,,Alex Karaban,Connecticut,1,13.9,12,9,8,10,14,5,58,6,9.6999998,3,18,2,,,907,Connecticut,-72.676193,41.768265
2024,Josh,,Jaedon LeDee,San Diego St.,5,21.1,32,26,18,,,,76,3,25.299999,4,31,2,,,908,San Diego St.,-117.07,32.77
2024,Josh,,Marcus Domask,Illinois,3,15.7,12,22,7,17,,,58,4,14.5,5,34,2,,,909,Illinois,-88.239998,40.099998
2024,Josh,,AJ Storr,Wisconsin,5,16.700001,13,,,,,,13,1,13,6,47,2,,,910,Wisconsin,-89.400002,43.07
2024,Josh,,Coleman Hawkins,Illinois,3,12.6,10,11,12,5,,,38,4,9.5,7,50,2,,,911,Illinois,-88.239998,40.099998
2024,Josh,,Shahada Wells,McNeese St.,12,17.799999,17,,,,,,17,1,17,8,63,2,,,912,McNeese St.,-93.209763,30.175711
2024,Adam,,Terrence Shannon Jr,Illinois,3,22.6,26,30,29,8,,,93,4,23.299999,1,3,3,,,913,Illinois,-88.239998,40.099998
2024,Adam,,Trey Alexander,Creighton,3,17.6,19,20,13,,,,52,3,17.299999,2,14,3,,,914,Creighton,-95.93,41.259998
2024,Adam,,Donovan Clingan,Connecticut,1,12.5,19,14,8,22,18,11,92,6,15.3,3,19,3,,,915,Connecticut,-72.676193,41.768265
2024,Adam,,Emanuel Sharp,Houston,1,12.2,13,30,7,,,,50,3,16.700001,4,30,3,,,916,Houston,-95.346931,29.724676
2024,Adam,,Zakai Zeigler,Tennessee,2,11.9,11,6,18,9,,,44,4,11,5,35,3,,,917,Tennessee,-83.925056,35.951138
2024,Adam,,Reed Sheppard,Kentucky,3,12.8,3,,,,,,3,1,3,6,46,3,,,918,Kentucky,-84.5,38.049999
2024,Adam,,Jalen Bridges,Baylor,3,11.9,23,10,,,,,33,2,16.5,7,51,3,,,919,Baylor,-97.110001,31.549999
2024,Adam,,David Joplin,Marquette,2,10.9,13,14,4,,,,31,3,10.3,8,62,3,,,920,Marquette,-87.919998,43.040001
2024,Andrew L,,Tristen Newton,Connecticut,1,15.2,13,20,17,5,12,20,87,6,14.5,1,4,4,,,921,Connecticut,-72.676193,41.768265
2024,Andrew L,,Cam Spencer,Connecticut,1,14.5,15,11,18,11,14,11,80,6,13.3,2,13,4,,,922,Connecticut,-72.676193,41.768265
2024,Andrew L,,Braden Smith,Purdue,1,12.5,11,5,14,9,3,12,54,6,9,3,20,4,,,923,Purdue,-86.919998,40.43
2024,Andrew L,,Harrison Ingram,North Carolina,1,12.1,9,17,12,,,,38,3,12.7,4,29,4,,,924,North Carolina,-79.040001,35.900002
