tFirst,tSecond,interval,lon,lat,date,band
2013-06-18 15:23,2013-06-19 05:23,40,-155.4330614,17.78434954,2013-06-18,844
2013-06-19 05:23,2013-06-19 15:28,41,-156.0307783,16.64867218,2013-06-19,844
2013-06-19 15:28,2013-06-20 05:18,42,-155.3786712,15.38728879,2013-06-19,844
2013-06-20 05:18,2013-06-20 15:23,43,-154.7265653,16.64167173,2013-06-20,844
2013-06-20 15:23,2013-06-21 05:33,44,-156.5740977,20.05922032,2013-06-20,844
2013-06-21 05:33,2013-06-21 15:53,45,-160.2963696,12.95744554,2013-06-21,844
2013-06-21 15:53,2013-06-22 5:48,46,-162.1439698,16.58986511,2013-06-21,844
2013-06-22 5:48,2013-06-22 15:28,47,-158.9923646,22.30201325,2013-06-22,844
2013-06-22 15:28,2013-06-23 05:48,48,-158.9653637,22.26087417,2013-06-22,844
2013-06-23 05:48,2013-06-23 15:38,49,-160.188237,20.12308251,2013-06-23,844
2013-06-23 15:38,2013-06-24 04:13,50,-148.2881655,-5.056739051,2013-06-23,844
2013-06-24 04:13,2013-06-24 15:33,51,-147.636504,-3.535698895,2013-06-24,844
2013-06-24 15:33,2013-06-25 05:33,52,-157.6083939,17.81036657,2013-06-24,844
2013-06-25 05:33,2013-06-25 15:28,53,-156.9569642,19.02957155,2013-06-25,844
2013-06-25 15:28,2013-06-26 05:38,54,-157.5555106,20.13008976,2013-06-25,844
2013-06-26 05:38,2013-06-26 15:23,55,-156.9043609,21.30265467,2013-06-26,844
2013-06-26 15:23,2013-06-27 05:28,56,-155.6284891,19.02667191,2013-06-26,844
2013-06-27 05:28,2013-06-27 15:23,57,-155.6025772,19.09224505,2013-06-27,844
2013-06-27 15:23,2013-06-28 05:38,58,-156.8267037,21.31569882,2013-06-27,844
2013-06-28 05:38,2013-06-28 15:28,59,-157.4260808,20.27058859,2013-06-28,844
2013-06-28 15:28,2013-06-29 05:53,60,-159.2755308,23.51775954,2013-06-28,844
2013-06-29 05:53,2013-06-29 15:23,61,-158.6255076,24.62687141,2013-06-29,844
2013-06-29 15:23,2013-06-30 05:38,62,-156.7259312,21.41731812,2013-06-29,844
2013-06-30 05:38,2013-06-30 15:23,63,-156.7012901,21.49001032,2013-06-30,844
